prod_reg_id,date,value
pas_12,2015-06-01,6278000000.0
pas_13,2015-06-01,477000000.0
pas_17,2015-06-01,1824000000.0
pas_14,2015-06-01,225000000.0
pas_15,2015-06-01,31099000000.0
pas_16,2015-06-01,38222000000.0
pas_0,2015-07-01,8888000000.0
pas_1,2015-07-01,3985000000.0
pas_2,2015-07-01,6151000000.0
pas_3,2015-07-01,15916000000.0
pas_4,2015-07-01,3382000000.0
pas_5,2015-07-01,450379000000.0
pas_6,2015-07-01,11188000000.0
pas_7,2015-07-01,1211000000.0
pas_8,2015-07-01,328000000.0
pas_9,2015-07-01,738000000.0
pas_10,2015-07-01,2653000000.0
pas_11,2015-07-01,16869000000.0
pas_12,2015-07-01,6647000000.0
pas_13,2015-07-01,426000000.0
pas_17,2015-07-01,1905000000.0
pas_14,2015-07-01,204000000.0
pas_15,2015-07-01,29541000000.0
pas_16,2015-07-01,33295000000.0
pas_0,2015-08-01,9654000000.0
pas_1,2015-08-01,4158000000.0
pas_2,2015-08-01,7258000000.0
pas_3,2015-08-01,15810000000.0
pas_4,2015-08-01,3643000000.0
pas_5,2015-08-01,457878000000.0
pas_6,2015-08-01,11540000000.0
pas_7,2015-08-01,1342000000.0
pas_8,2015-08-01,321000000.0
pas_9,2015-08-01,722000000.0
pas_10,2015-08-01,2764000000.0
pas_11,2015-08-01,17387000000.0
pas_12,2015-08-01,6811000000.0
pas_13,2015-08-01,431000000.0
pas_17,2015-08-01,1628000000.0
pas_14,2015-08-01,188000000.0
pas_15,2015-08-01,32227000000.0
pas_16,2015-08-01,33864000000.0
pas_0,2015-09-01,9039000000.0
pas_1,2015-09-01,3986000000.0
pas_2,2015-09-01,6228000000.0
pas_3,2015-09-01,14124000000.0
pas_4,2015-09-01,3448000000.0
pas_5,2015-09-01,449596000000.0
pas_6,2015-09-01,10247000000.0
pas_7,2015-09-01,1626000000.0
pas_8,2015-09-01,278000000.0
pas_9,2015-09-01,5556000000.0
pas_10,2015-09-01,3138000000.0
pas_11,2015-09-01,18355000000.0
pas_12,2015-09-01,6106000000.0
pas_13,2015-09-01,412000000.0
pas_17,2015-09-01,1671000000.0
pas_14,2015-09-01,144000000.0
pas_15,2015-09-01,26512000000.0
pas_16,2015-09-01,32607000000.0
pas_0,2015-10-01,9122000000.0
pas_1,2015-10-01,3782000000.0
pas_2,2015-10-01,6716000000.0
pas_3,2015-10-01,14304000000.0
pas_4,2015-10-01,3646000000.0
pas_5,2015-10-01,430306000000.0
pas_6,2015-10-01,11327000000.0
pas_7,2015-10-01,1388000000.0
pas_8,2015-10-01,342000000.0
pas_9,2015-10-01,5536000000.0
pas_10,2015-10-01,2887000000.0
pas_11,2015-10-01,17650000000.0
pas_12,2015-10-01,6348000000.0
pas_13,2015-10-01,473000000.0
pas_17,2015-10-01,1926000000.0
pas_14,2015-10-01,129000000.0
pas_15,2015-10-01,30224000000.0
pas_16,2015-10-01,32879000000.0
pas_0,2015-11-01,9091000000.0
pas_1,2015-11-01,4093000000.0
pas_2,2015-11-01,6208000000.0
pas_3,2015-11-01,12323000000.0
pas_4,2015-11-01,3470000000.0
pas_5,2015-11-01,455607000000.0
pas_6,2015-11-01,11860000000.0
pas_7,2015-11-01,1567000000.0
pas_8,2015-11-01,372000000.0
pas_9,2015-11-01,5464000000.0
pas_10,2015-11-01,2779000000.0
pas_11,2015-11-01,17301000000.0
pas_12,2015-11-01,6397000000.0
pas_13,2015-11-01,459000000.0
pas_17,2015-11-01,1752000000.0
pas_14,2015-11-01,178000000.0
